,0x0,0x4
3DCC4+0x0,081D5450,081D5430
3DCC4+0x8,081D5530,081D5510
3DCC4+0x10,081D55D8,081D55B8
3DCC4+0x18,081D5678,081D5658
3DCC4+0x20,081D5734,081D5714
3DCC4+0x28,081D57D4,081D57B4
3DCC4+0x30,081D5860,081D5840
3DCC4+0x38,081D58E8,081D58C8
3DCC4+0x40,081D5964,081D5944
3DCC4+0x48,081D59D4,081D59B4
3DCC4+0x50,081D5A5C,081D5A3C
3DCC4+0x58,081D5B14,081D5AF4
3DCC4+0x60,081D5BF4,081D5BD4
3DCC4+0x68,081D5CC4,081D5CA4
3DCC4+0x70,081D5D4C,081D5D2C
3DCC4+0x78,081D5DE4,081D5DC4
